person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_burden,emp_stability
22,47000,RENT,0.0,EDUCATION,B,8000,12.18,0.17,N,4,0.1702127659574468,0.0
26,24000,MORTGAGE,5.0,PERSONAL,B,8000,9.76,0.33,N,3,0.3333333333333333,0.19230769230769232
30,34000,MORTGAGE,8.0,PERSONAL,A,12000,,0.35,N,10,0.35294117647058826,0.26666666666666666
25,54084,RENT,5.0,HOMEIMPROVEMENT,B,3500,9.25,0.06,N,2,0.06471414836180756,0.2
25,62000,RENT,0.0,EDUCATION,A,5000,7.49,0.08,N,3,0.08064516129032258,0.0
25,53000,MORTGAGE,4.0,EDUCATION,A,6000,6.62,0.11,N,2,0.11320754716981132,0.16
46,54000,RENT,8.0,PERSONAL,B,10000,11.71,0.19,N,15,0.18518518518518517,0.17391304347826086
25,27096,RENT,7.0,EDUCATION,A,5000,7.9,0.18,N,3,0.18452908178328906,0.28
24,25000,RENT,3.0,MEDICAL,A,9450,6.62,0.38,N,4,0.378,0.125
25,63000,MORTGAGE,6.0,VENTURE,F,11000,,0.17,Y,3,0.1746031746031746,0.24
22,64000,RENT,2.0,DEBTCONSOLIDATION,B,10000,12.69,0.16,N,4,0.15625,0.09090909090909091
28,65000,RENT,3.0,HOMEIMPROVEMENT,A,7000,8.49,0.11,N,6,0.1076923076923077,0.10714285714285714
23,300000,MORTGAGE,5.0,EDUCATION,D,10000,15.65,0.03,Y,2,0.03333333333333333,0.21739130434782608
22,70000,RENT,3.0,EDUCATION,B,22000,11.36,0.31,N,4,0.3142857142857143,0.13636363636363635
33,83000,RENT,5.0,EDUCATION,A,7200,8.0,0.09,N,8,0.08674698795180723,0.15151515151515152
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0.1,N,4,0.1,0.08
28,86000,MORTGAGE,6.0,PERSONAL,C,2650,13.23,0.03,Y,5,0.030813953488372094,0.21428571428571427
25,50000,MORTGAGE,7.0,PERSONAL,C,6600,12.61,0.13,Y,3,0.132,0.28
32,60000,RENT,5.0,VENTURE,B,18800,9.99,0.31,N,7,0.31333333333333335,0.15625
22,30000,RENT,1.0,DEBTCONSOLIDATION,E,6400,16.0,0.21,N,3,0.21333333333333335,0.045454545454545456
37,45000,OWN,11.0,EDUCATION,B,12000,12.21,0.27,N,12,0.26666666666666666,0.2972972972972973
35,120000,RENT,4.0,HOMEIMPROVEMENT,B,12000,10.99,0.1,N,7,0.1,0.11428571428571428
21,14400,RENT,3.0,VENTURE,C,5000,13.72,0.35,N,4,0.3472222222222222,0.14285714285714285
23,33504,RENT,5.0,VENTURE,C,12000,13.11,0.36,Y,4,0.35816618911174786,0.21739130434782608
23,45000,RENT,4.0,EDUCATION,B,14400,,0.32,N,3,0.32,0.17391304347826086
27,80000,MORTGAGE,4.0,PERSONAL,A,6000,6.03,0.07,N,10,0.075,0.14814814814814814
30,59000,MORTGAGE,4.0,MEDICAL,A,10000,8.0,0.17,N,9,0.1694915254237288,0.13333333333333333
40,77000,MORTGAGE,9.0,EDUCATION,B,12000,,0.16,N,12,0.15584415584415584,0.225
44,30000,OWN,3.0,VENTURE,B,7500,10.39,0.25,N,11,0.25,0.06818181818181818
22,25200,RENT,1.0,EDUCATION,B,4000,,0.16,N,3,0.15873015873015872,0.045454545454545456
37,124000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,19000,13.92,0.15,Y,16,0.1532258064516129,0.10810810810810811
22,48888,RENT,1.0,PERSONAL,C,18400,13.16,0.38,N,2,0.37637047946326296,0.045454545454545456
32,44000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,15600,6.17,0.35,N,5,0.35454545454545455,0.28125
27,185000,RENT,2.0,HOMEIMPROVEMENT,A,6000,,0.03,N,10,0.032432432432432434,0.07407407407407407
31,103000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,14000,9.91,0.14,N,7,0.13592233009708737,0.25806451612903225
25,84000,MORTGAGE,7.0,MEDICAL,B,6500,10.99,0.08,N,3,0.07738095238095238,0.28
30,69000,RENT,6.0,EDUCATION,D,25000,14.09,0.36,Y,5,0.36231884057971014,0.2
26,18700,RENT,2.0,EDUCATION,A,1500,5.42,0.08,N,4,0.08021390374331551,0.07692307692307693
26,114996,MORTGAGE,1.0,EDUCATION,B,24000,10.62,0.21,N,3,0.20870291140561412,0.038461538461538464
35,30000,RENT,0.0,DEBTCONSOLIDATION,B,3000,10.65,0.1,N,9,0.1,0.0
24,68000,RENT,5.0,MEDICAL,D,15000,15.58,0.19,Y,4,0.22058823529411764,0.20833333333333334
47,37000,MORTGAGE,6.0,PERSONAL,A,7400,8.0,0.2,N,13,0.2,0.1276595744680851
25,26004,MORTGAGE,3.0,EDUCATION,B,10000,9.91,0.38,N,2,0.3845562221196739,0.12
24,36500,MORTGAGE,0.0,EDUCATION,C,7000,13.16,0.19,Y,4,0.1917808219178082,0.0
26,127000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,4900,,0.04,Y,3,0.03858267716535433,0.19230769230769232
23,35000,RENT,2.0,DEBTCONSOLIDATION,B,22250,12.69,0.64,N,3,0.6357142857142857,0.08695652173913043
33,150000,OWN,14.0,VENTURE,B,21000,11.83,0.14,N,9,0.14,0.42424242424242425
30,130500,MORTGAGE,1.0,DEBTCONSOLIDATION,D,25000,15.33,0.19,N,6,0.19157088122605365,0.03333333333333333
27,35000,OTHER,0.0,VENTURE,A,7000,8.0,0.2,N,7,0.2,0.0
29,63533,RENT,0.0,PERSONAL,A,5400,7.66,0.08,N,7,0.08499519934522216,0.0
24,44640,RENT,0.0,VENTURE,B,10500,10.36,0.24,N,2,0.23521505376344087,0.0
38,23000,RENT,4.0,EDUCATION,C,10000,13.48,0.43,Y,16,0.43478260869565216,0.10526315789473684
26,54000,RENT,2.0,PERSONAL,C,6600,11.97,0.12,N,3,0.12222222222222222,0.07692307692307693
25,42000,RENT,1.0,MEDICAL,B,6000,,0.14,N,4,0.14285714285714285,0.04
30,72000,MORTGAGE,3.0,MEDICAL,A,14000,6.99,0.19,N,9,0.19444444444444445,0.1
38,66420,MORTGAGE,8.0,MEDICAL,A,5550,5.99,0.08,N,11,0.08355916892502259,0.21052631578947367
29,40404,RENT,4.0,VENTURE,A,14000,8.49,0.35,N,10,0.3465003465003465,0.13793103448275862
24,62000,RENT,4.0,EDUCATION,C,2000,13.49,0.03,N,3,0.03225806451612903,0.16666666666666666
41,92000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,8000,9.63,0.09,N,13,0.08695652173913043,0.12195121951219512
33,125000,MORTGAGE,2.0,MEDICAL,A,20000,7.88,0.16,N,5,0.16,0.06060606060606061
28,16000,RENT,2.0,DEBTCONSOLIDATION,E,5000,16.45,0.31,Y,7,0.3125,0.07142857142857142
30,50000,MORTGAGE,0.0,EDUCATION,D,10000,16.89,0.2,N,10,0.2,0.0
32,51996,RENT,2.0,DEBTCONSOLIDATION,A,10000,5.79,0.19,N,9,0.19232248634510346,0.0625
37,51000,RENT,5.0,DEBTCONSOLIDATION,A,1800,7.51,0.04,N,14,0.03529411764705882,0.13513513513513514
22,20400,OWN,0.0,DEBTCONSOLIDATION,D,3800,,0.19,Y,3,0.18627450980392157,0.0
29,280000,MORTGAGE,6.0,MEDICAL,C,15000,12.99,0.05,Y,6,0.05357142857142857,0.20689655172413793
40,61500,RENT,3.0,PERSONAL,B,8000,11.48,0.13,N,17,0.13008130081300814,0.075
27,36000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,7000,12.98,0.19,Y,7,0.19444444444444445,0.2222222222222222
29,55000,MORTGAGE,4.0,PERSONAL,A,3600,6.92,0.07,N,10,0.06545454545454546,0.13793103448275862
25,52000,MORTGAGE,3.0,PERSONAL,A,6000,8.49,0.12,N,3,0.11538461538461539,0.12
24,19200,RENT,2.0,EDUCATION,B,1000,12.53,0.05,N,4,0.052083333333333336,0.08333333333333333
31,39000,RENT,0.0,HOMEIMPROVEMENT,D,16450,16.02,0.42,N,10,0.4217948717948718,0.0
26,45000,OWN,2.0,MEDICAL,C,7000,,0.16,N,3,0.15555555555555556,0.07692307692307693
29,120000,MORTGAGE,2.0,EDUCATION,A,35000,8.9,0.29,N,7,0.2916666666666667,0.06896551724137931
25,52000,RENT,2.0,VENTURE,C,6000,12.87,0.12,Y,4,0.11538461538461539,0.08
33,57492,RENT,1.0,MEDICAL,B,20000,12.53,0.35,N,10,0.34787448688513184,0.030303030303030304
24,55000,RENT,4.0,PERSONAL,B,14900,11.83,0.27,N,3,0.27090909090909093,0.16666666666666666
27,60000,RENT,3.0,PERSONAL,C,4800,13.35,0.08,Y,9,0.08,0.1111111111111111
28,42000,RENT,3.0,EDUCATION,D,9600,14.61,0.23,N,9,0.22857142857142856,0.10714285714285714
29,120000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,20000,12.42,0.17,N,6,0.16666666666666666,0.2413793103448276
32,29100,MORTGAGE,3.0,MEDICAL,D,10000,15.95,0.34,Y,9,0.3436426116838488,0.09375
32,65000,OWN,12.0,VENTURE,B,10000,11.99,0.15,N,5,0.15384615384615385,0.375
25,90000,MORTGAGE,2.0,PERSONAL,C,20000,,0.22,Y,3,0.2222222222222222,0.08
23,54000,RENT,1.0,VENTURE,B,20000,11.83,0.37,N,4,0.37037037037037035,0.043478260869565216
24,70000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,9000,11.83,0.13,N,3,0.12857142857142856,0.041666666666666664
27,60000,RENT,0.0,DEBTCONSOLIDATION,B,6000,9.25,0.1,N,9,0.1,0.0
30,79200,MORTGAGE,10.0,EDUCATION,A,9000,8.49,0.11,N,8,0.11363636363636363,0.3333333333333333
24,52582,RENT,5.0,MEDICAL,B,8500,10.62,0.16,N,2,0.16165227644441063,0.20833333333333334
43,175436,RENT,1.0,HOMEIMPROVEMENT,A,7000,5.99,0.04,N,12,0.03990059052873982,0.023255813953488372
23,30000,RENT,3.0,PERSONAL,A,14600,6.03,0.49,N,4,0.4866666666666667,0.13043478260869565
31,89000,MORTGAGE,8.0,PERSONAL,D,12250,15.05,0.14,N,8,0.13764044943820225,0.25806451612903225
34,92000,MORTGAGE,1.0,PERSONAL,A,9000,9.63,0.1,N,8,0.09782608695652174,0.029411764705882353
36,37000,MORTGAGE,5.0,MEDICAL,E,3000,18.39,0.08,Y,15,0.08108108108108109,0.1388888888888889
25,306000,RENT,2.0,PERSONAL,C,24250,13.85,0.08,N,4,0.07924836601307189,0.08
24,44000,RENT,2.0,PERSONAL,A,10000,7.49,0.23,N,2,0.22727272727272727,0.08333333333333333
26,14000,RENT,8.0,HOMEIMPROVEMENT,B,3450,12.69,0.25,N,3,0.24642857142857144,0.3076923076923077
23,31000,RENT,1.0,DEBTCONSOLIDATION,A,1500,8.94,0.05,N,3,0.04838709677419355,0.043478260869565216
40,34560,MORTGAGE,3.0,MEDICAL,B,10000,,0.29,N,12,0.28935185185185186,0.075
29,70000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,3000,9.63,0.04,N,9,0.04285714285714286,0.1724137931034483
30,60600,MORTGAGE,1.0,MEDICAL,A,3000,7.12,0.05,N,5,0.04950495049504951,0.03333333333333333
23,50000,RENT,3.0,EDUCATION,A,7000,7.51,0.14,N,4,0.14,0.13043478260869565
25,44000,RENT,1.0,MEDICAL,D,8000,12.92,0.18,N,2,0.18181818181818182,0.04
38,48000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,7800,10.65,0.16,N,12,0.1625,0.23684210526315788
25,60000,RENT,1.0,VENTURE,A,8000,5.42,0.13,N,2,0.13333333333333333,0.04
29,97000,RENT,4.0,PERSONAL,B,25000,10.37,0.26,N,10,0.25773195876288657,0.13793103448275862
28,68000,MORTGAGE,7.0,VENTURE,B,2500,11.71,0.04,N,7,0.03676470588235294,0.25
22,36050,RENT,2.0,PERSONAL,D,6700,14.11,0.19,Y,4,0.18585298196948682,0.09090909090909091
29,160000,MORTGAGE,8.0,EDUCATION,A,7000,,0.04,N,8,0.04375,0.27586206896551724
65,45900,RENT,2.0,EDUCATION,C,10000,,0.22,Y,19,0.2178649237472767,0.03076923076923077
24,37000,RENT,3.0,PERSONAL,B,5500,9.2,0.15,N,2,0.14864864864864866,0.125
28,42000,RENT,9.0,MEDICAL,D,12250,14.59,0.29,N,10,0.2916666666666667,0.32142857142857145
33,62130,RENT,6.0,HOMEIMPROVEMENT,A,9050,7.29,0.15,N,7,0.1456623209399646,0.18181818181818182
22,68496,RENT,4.0,PERSONAL,D,12000,15.31,0.18,Y,3,0.1751927119831815,0.18181818181818182
40,158000,RENT,2.0,HOMEIMPROVEMENT,E,25000,16.82,0.16,N,16,0.15822784810126583,0.05
23,60000,RENT,4.0,DEBTCONSOLIDATION,A,7000,6.03,0.12,N,3,0.11666666666666667,0.17391304347826086
27,44544,RENT,4.0,MEDICAL,C,16425,14.27,0.37,Y,5,0.3687365301724138,0.14814814814814814
25,60000,MORTGAGE,2.0,PERSONAL,B,6900,9.99,0.12,N,2,0.115,0.08
30,30000,RENT,3.0,MEDICAL,A,7000,,0.23,N,8,0.23333333333333334,0.1
34,60353,RENT,13.0,PERSONAL,B,8500,10.65,0.14,N,8,0.14083806935860688,0.38235294117647056
47,54000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,4000,11.58,0.07,N,11,0.07407407407407407,0.02127659574468085
24,61781,MORTGAGE,6.0,EDUCATION,B,17800,10.25,0.29,N,3,0.2881144688496463,0.25
23,42000,MORTGAGE,0.0,PERSONAL,D,6000,16.77,0.14,N,3,0.14285714285714285,0.0
32,40000,RENT,3.0,DEBTCONSOLIDATION,B,8000,9.62,0.2,N,9,0.2,0.09375
29,40000,RENT,3.0,MEDICAL,B,14150,12.69,0.35,N,7,0.35375,0.10344827586206896
33,68000,MORTGAGE,9.0,EDUCATION,B,2100,12.53,0.03,N,9,0.030882352941176472,0.2727272727272727
22,112000,MORTGAGE,2.0,PERSONAL,A,4000,8.9,0.04,N,3,0.03571428571428571,0.09090909090909091
27,80000,MORTGAGE,5.0,PERSONAL,C,35000,,0.44,N,8,0.4375,0.18518518518518517
34,120000,MORTGAGE,10.0,EDUCATION,B,20000,10.37,0.17,N,10,0.16666666666666666,0.29411764705882354
22,27804,RENT,2.0,MEDICAL,C,3750,13.85,0.13,Y,4,0.13487268018990073,0.09090909090909091
42,68000,MORTGAGE,2.0,VENTURE,A,5000,7.51,0.07,N,17,0.07352941176470588,0.047619047619047616
30,26000,OWN,4.0,PERSONAL,B,1200,10.99,0.05,N,6,0.046153846153846156,0.13333333333333333
28,13500,OWN,0.0,VENTURE,A,6700,9.63,0.5,N,8,0.4962962962962963,0.0
26,84000,RENT,0.0,HOMEIMPROVEMENT,C,8000,12.61,0.1,N,4,0.09523809523809523,0.0
25,31000,RENT,1.0,HOMEIMPROVEMENT,D,6450,14.42,0.21,Y,3,0.20806451612903226,0.04
22,50000,RENT,0.0,EDUCATION,A,9200,6.92,0.18,N,4,0.184,0.0
34,106000,RENT,3.0,EDUCATION,B,3000,11.12,0.03,N,7,0.02830188679245283,0.08823529411764706
34,14400,RENT,2.0,PERSONAL,B,2500,10.0,0.17,N,5,0.1736111111111111,0.058823529411764705
22,80000,RENT,3.0,DEBTCONSOLIDATION,A,9000,6.91,0.11,N,3,0.1125,0.13636363636363635
26,39990,MORTGAGE,3.0,HOMEIMPROVEMENT,C,2400,14.27,0.06,Y,2,0.06001500375093773,0.11538461538461539
24,38000,RENT,0.0,EDUCATION,C,12000,11.34,0.32,N,3,0.3157894736842105,0.0
31,120000,MORTGAGE,9.0,MEDICAL,A,10000,7.51,0.08,N,7,0.08333333333333333,0.2903225806451613
25,59000,RENT,4.0,MEDICAL,B,15000,9.99,0.25,N,3,0.2542372881355932,0.16
22,44568,RENT,3.0,PERSONAL,B,3200,,0.07,N,4,0.07180039490217197,0.13636363636363635
29,24000,OWN,3.0,PERSONAL,A,7200,7.51,0.3,N,6,0.3,0.10344827586206896
31,100000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,8000,6.99,0.08,N,7,0.08,0.3548387096774194
42,48000,OWN,0.0,PERSONAL,C,3500,14.35,0.07,N,12,0.07291666666666667,0.0
27,34000,RENT,3.0,MEDICAL,D,10000,16.77,0.29,N,7,0.29411764705882354,0.1111111111111111
21,17000,RENT,0.0,DEBTCONSOLIDATION,E,1500,18.64,0.09,N,2,0.08823529411764706,0.0
32,130000,MORTGAGE,0.0,EDUCATION,A,12000,8.59,0.09,N,5,0.09230769230769231,0.0
24,53000,MORTGAGE,1.0,EDUCATION,D,6400,13.67,0.12,N,2,0.12075471698113208,0.041666666666666664
27,44000,MORTGAGE,0.0,EDUCATION,C,6000,13.23,0.14,Y,8,0.13636363636363635,0.0
23,32000,RENT,3.0,DEBTCONSOLIDATION,C,5000,14.79,0.16,N,2,0.15625,0.13043478260869565
35,54000,RENT,1.0,MEDICAL,D,9000,14.46,0.17,N,9,0.16666666666666666,0.02857142857142857
29,56700,MORTGAGE,9.0,VENTURE,C,10000,,0.18,Y,5,0.1763668430335097,0.3103448275862069
38,225000,RENT,16.0,EDUCATION,D,15000,15.62,0.07,N,17,0.06666666666666667,0.42105263157894735
28,40500,RENT,9.0,DEBTCONSOLIDATION,A,15000,7.88,0.37,N,5,0.37037037037037035,0.32142857142857145
28,84000,MORTGAGE,1.0,DEBTCONSOLIDATION,D,3000,15.99,0.04,Y,6,0.03571428571428571,0.03571428571428571
24,65000,RENT,1.0,MEDICAL,B,6400,9.99,0.1,N,3,0.09846153846153846,0.041666666666666664
35,40800,RENT,5.0,VENTURE,A,5000,6.54,0.12,N,5,0.12254901960784313,0.14285714285714285
22,46080,RENT,1.0,VENTURE,B,2200,11.99,0.05,N,2,0.04774305555555555,0.045454545454545456
25,37200,RENT,3.0,EDUCATION,C,14500,13.85,0.39,Y,3,0.3897849462365591,0.12
31,83000,RENT,5.0,PERSONAL,B,6300,10.65,0.08,N,5,0.07590361445783132,0.16129032258064516
27,36789,MORTGAGE,1.0,DEBTCONSOLIDATION,C,5500,13.57,0.15,Y,8,0.14950120960069585,0.037037037037037035
31,42000,RENT,3.0,MEDICAL,B,5000,11.86,0.12,N,9,0.11904761904761904,0.0967741935483871
51,74628,MORTGAGE,3.0,PERSONAL,C,3000,13.49,0.04,Y,18,0.04019938896928767,0.058823529411764705
25,70000,MORTGAGE,6.0,MEDICAL,B,12000,10.37,0.17,N,4,0.17142857142857143,0.24
28,78000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,12000,5.79,0.15,N,5,0.15384615384615385,0.17857142857142858
24,34000,RENT,0.0,VENTURE,D,14000,14.61,0.41,Y,2,0.4117647058823529,0.0
28,108000,RENT,0.0,EDUCATION,D,25000,14.61,0.23,Y,6,0.23148148148148148,0.0
33,54072,MORTGAGE,1.0,DEBTCONSOLIDATION,A,3000,6.99,0.06,N,7,0.055481580115401684,0.030303030303030304
30,34000,RENT,1.0,MEDICAL,A,8000,7.9,0.24,N,5,0.23529411764705882,0.03333333333333333
25,69996,MORTGAGE,3.0,PERSONAL,B,25000,10.62,0.36,N,3,0.35716326647236984,0.12
25,85000,MORTGAGE,5.0,HOMEIMPROVEMENT,C,9600,13.85,0.11,Y,4,0.11294117647058824,0.2
22,33650,RENT,1.0,EDUCATION,D,6000,12.86,0.18,N,4,0.17830609212481427,0.045454545454545456
29,193086,MORTGAGE,3.0,DEBTCONSOLIDATION,B,11125,10.59,0.06,N,6,0.05761681323348145,0.10344827586206896
24,55680,MORTGAGE,4.0,PERSONAL,B,7875,10.65,0.14,N,3,0.1414331896551724,0.16666666666666666
29,61000,MORTGAGE,9.0,PERSONAL,A,9000,7.88,0.15,N,7,0.14754098360655737,0.3103448275862069
40,83000,RENT,3.0,HOMEIMPROVEMENT,D,23000,12.36,0.28,Y,11,0.27710843373493976,0.075
40,42996,OWN,15.0,MEDICAL,D,15000,16.0,0.35,Y,16,0.3488696622941669,0.375
31,34000,RENT,1.0,PERSONAL,B,9000,11.48,0.26,N,5,0.2647058823529412,0.03225806451612903
30,75000,RENT,6.0,MEDICAL,C,12325,12.73,0.16,N,6,0.16433333333333333,0.2
28,38400,RENT,3.0,DEBTCONSOLIDATION,C,5000,13.49,0.13,Y,6,0.13020833333333334,0.10714285714285714
31,40000,RENT,5.0,MEDICAL,C,2500,13.23,0.06,Y,5,0.0625,0.16129032258064516
27,40000,MORTGAGE,7.0,VENTURE,A,13000,7.88,0.33,N,7,0.325,0.25925925925925924
22,14400,RENT,0.0,DEBTCONSOLIDATION,B,7200,11.71,0.5,N,4,0.5,0.0
25,30720,RENT,4.0,MEDICAL,A,2400,7.9,0.08,N,3,0.078125,0.16
26,117000,MORTGAGE,4.0,MEDICAL,A,14400,,0.12,N,3,0.12307692307692308,0.15384615384615385
27,50000,RENT,4.0,PERSONAL,C,6400,13.23,0.13,Y,5,0.128,0.14814814814814814
26,52000,MORTGAGE,6.0,PERSONAL,A,6500,6.76,0.13,N,4,0.125,0.23076923076923078
22,48996,RENT,4.0,EDUCATION,C,10000,12.87,0.2,N,2,0.20409829373826435,0.18181818181818182
26,22800,RENT,4.0,DEBTCONSOLIDATION,C,5000,13.57,0.22,N,4,0.21929824561403508,0.15384615384615385
25,59366,RENT,4.0,MEDICAL,B,6000,11.11,0.1,N,2,0.10106795135262608,0.16
23,24996,MORTGAGE,4.0,EDUCATION,B,5000,12.69,0.2,N,2,0.20003200512081934,0.17391304347826086
32,84996,MORTGAGE,7.0,DEBTCONSOLIDATION,C,6000,12.99,0.07,Y,7,0.07059155724975293,0.21875
33,33000,RENT,0.0,PERSONAL,C,7500,11.34,0.23,N,9,0.22727272727272727,0.0
24,105000,RENT,2.0,HOMEIMPROVEMENT,C,19000,12.29,0.18,Y,2,0.18095238095238095,0.08333333333333333
32,57000,MORTGAGE,11.0,MEDICAL,C,9000,13.35,0.16,Y,5,0.15789473684210525,0.34375
24,16020,OWN,3.0,VENTURE,E,3625,17.14,0.23,Y,2,0.2262796504369538,0.125
23,38400,RENT,3.0,DEBTCONSOLIDATION,A,6250,8.9,0.16,N,4,0.16276041666666666,0.13043478260869565
65,76000,RENT,3.0,HOMEIMPROVEMENT,B,35000,10.99,0.46,N,28,0.4605263157894737,0.046153846153846156
31,50000,RENT,13.0,DEBTCONSOLIDATION,D,8000,14.09,0.16,Y,8,0.16,0.41935483870967744
23,137000,MORTGAGE,0.0,EDUCATION,A,11400,9.63,0.08,N,2,0.08321167883211679,0.0
23,145596,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4700,6.92,0.03,N,2,0.03228110662380835,0.0
36,170000,MORTGAGE,13.0,VENTURE,A,25000,7.51,0.15,N,13,0.14705882352941177,0.3611111111111111
27,75000,MORTGAGE,3.0,VENTURE,B,4000,11.49,0.05,N,7,0.05333333333333334,0.1111111111111111
32,45000,RENT,9.0,MEDICAL,A,12000,7.88,0.27,N,6,0.26666666666666666,0.28125
26,90000,OWN,2.0,VENTURE,A,9500,8.07,0.11,N,2,0.10555555555555556,0.07692307692307693
22,35000,RENT,0.0,EDUCATION,B,3000,,0.09,N,2,0.08571428571428572,0.0
26,110000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,4000,6.92,0.04,N,2,0.03636363636363636,0.11538461538461539
26,65000,RENT,4.0,PERSONAL,A,8000,6.92,0.12,N,4,0.12307692307692308,0.15384615384615385
42,82000,RENT,6.0,DEBTCONSOLIDATION,B,22000,10.99,0.27,N,12,0.2682926829268293,0.14285714285714285
32,50000,MORTGAGE,3.0,PERSONAL,A,6000,6.76,0.12,N,6,0.12,0.09375
40,45996,RENT,4.0,DEBTCONSOLIDATION,D,20000,14.61,0.43,Y,13,0.4348204191668841,0.1
28,31800,RENT,2.0,MEDICAL,D,8500,16.07,0.27,N,10,0.2672955974842767,0.07142857142857142
28,80000,RENT,0.0,VENTURE,B,22000,9.76,0.28,N,9,0.275,0.0
36,108000,MORTGAGE,7.0,EDUCATION,A,14000,8.9,0.13,N,12,0.12962962962962962,0.19444444444444445
26,69000,RENT,6.0,EDUCATION,E,6400,16.4,0.09,Y,4,0.0927536231884058,0.23076923076923078
38,100000,RENT,2.0,HOMEIMPROVEMENT,A,16000,,0.16,N,11,0.16,0.05263157894736842
23,60000,RENT,5.0,VENTURE,D,5000,16.49,0.08,Y,2,0.08333333333333333,0.21739130434782608
24,32000,MORTGAGE,6.0,EDUCATION,A,12250,8.94,0.38,N,4,0.3828125,0.25
28,64000,MORTGAGE,4.0,PERSONAL,A,8825,5.99,0.14,N,5,0.137890625,0.14285714285714285
24,52000,MORTGAGE,3.0,VENTURE,A,3500,6.76,0.07,N,3,0.0673076923076923,0.125
21,18000,RENT,3.0,PERSONAL,C,1500,12.87,0.08,Y,4,0.08333333333333333,0.14285714285714285
34,65000,MORTGAGE,5.0,EDUCATION,B,21200,9.99,0.33,N,6,0.3261538461538461,0.14705882352941177
23,90000,MORTGAGE,1.0,EDUCATION,B,12000,12.18,0.13,N,4,0.13333333333333333,0.043478260869565216
24,77000,RENT,2.0,DEBTCONSOLIDATION,A,8000,7.51,0.1,N,3,0.1038961038961039,0.08333333333333333
21,27200,RENT,0.0,EDUCATION,C,5000,,0.18,N,3,0.18382352941176472,0.0
29,34500,OWN,7.0,VENTURE,A,20000,7.29,0.58,N,10,0.5797101449275363,0.2413793103448276
23,40000,RENT,0.0,VENTURE,A,10000,7.9,0.25,N,3,0.25,0.0
24,72400,MORTGAGE,4.0,EDUCATION,E,25000,17.99,0.35,Y,2,0.3453038674033149,0.16666666666666666
25,50000,MORTGAGE,0.0,VENTURE,A,2600,6.03,0.05,N,3,0.052,0.0
27,90000,MORTGAGE,8.0,EDUCATION,A,8000,7.66,0.09,N,5,0.08888888888888889,0.2962962962962963
25,80000,MORTGAGE,0.0,VENTURE,A,12000,6.91,0.15,N,2,0.15,0.0
26,52000,MORTGAGE,6.0,PERSONAL,B,3300,10.99,0.06,N,2,0.06346153846153846,0.23076923076923078
23,40000,RENT,3.0,DEBTCONSOLIDATION,C,3600,15.96,0.09,Y,4,0.09,0.13043478260869565
34,35000,RENT,9.0,DEBTCONSOLIDATION,A,8000,,0.23,N,10,0.22857142857142856,0.2647058823529412
22,36000,RENT,0.0,PERSONAL,B,15850,11.48,0.44,N,3,0.44027777777777777,0.0
27,30000,RENT,5.0,MEDICAL,D,7000,15.62,0.23,N,6,0.23333333333333334,0.18518518518518517
27,35000,RENT,0.0,DEBTCONSOLIDATION,A,3000,8.49,0.09,N,10,0.08571428571428572,0.0
27,39000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6900,12.87,0.18,N,9,0.17692307692307693,0.0
53,43200,RENT,0.0,VENTURE,B,10000,9.88,0.23,N,30,0.23148148148148148,0.0
27,117000,RENT,7.0,PERSONAL,B,1800,12.42,0.02,N,10,0.015384615384615385,0.25925925925925924
24,75000,RENT,4.0,VENTURE,A,10000,6.62,0.13,N,4,0.13333333333333333,0.16666666666666666
42,108000,MORTGAGE,14.0,VENTURE,D,14400,13.67,0.13,Y,16,0.13333333333333333,0.3333333333333333
23,54000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,10000,16.45,0.19,N,3,0.18518518518518517,0.21739130434782608
22,32000,RENT,2.0,VENTURE,C,10000,13.22,0.31,N,3,0.3125,0.09090909090909091
23,55200,MORTGAGE,1.0,PERSONAL,E,15250,15.68,0.28,N,2,0.276268115942029,0.043478260869565216
22,32000,MORTGAGE,3.0,EDUCATION,A,6000,8.49,0.19,N,2,0.1875,0.13636363636363635
27,91224,MORTGAGE,6.0,MEDICAL,A,15000,7.88,0.16,N,10,0.1644304130491976,0.2222222222222222
